,sentiment,content
1631,hate,My stomach is killing me do j can't sleep
8481,anger,@anz_rocks19  i have to break the twitterparty... im off home soon
763,hate,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
396,sadness,my stupid tooooth hurts
18851,anger,too sick for rigging tomorrow.
2366,love,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3
9,sadness,@kelcouch I'm sorry  at least it's Friday?
779,hate,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
5038,anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
122,love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
171,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1377,anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
2376,love,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
2190,happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?
494,anger,fuckin'm transtelecom
1118,love,i wanna be love drunk
1201,hate,Have to go to work  typical sunshine and deep sleep; stupid friday.
116,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
234,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
25055,anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
7205,anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
1608,happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?
1442,hate,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?
2018,love,"i really want to marry leighton meester. damn, can`t take my eyes of her."
1087,happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
463,hate,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
2218,happiness,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though
842,hate,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
202,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1125,happiness,@ColeDavid had  a little family party tonight   hope it rocked
702,love,wants see my friends  ;-) http://plurk.com/p/wxnwa
2015,happiness,wish my nicky were home too
601,hate,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
109,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1772,love,"All this talk of buttershots has me wanting some!  Maybe I'll have a small bit over ice, I haven't had any since faire."
168,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
1229,love,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.
1357,love,"oooooh!  this guy is so amazing, he's so cute, and he sent me a photo!  and no...i can't show"
196,hate,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
14523,anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
6971,anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
2655,happiness,@mangointhesky idk. The original is so great.
660,love,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick"
438,love,Pug just woke me from an incredible sleep!
696,love,Hahaha! Alright  ..
1854,happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates"
6241,anger,aaaaaaaaaaa McFly
367,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
2127,happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early
166,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
29925,anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
24,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1261,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
1033,happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
2665,love,is not ready for school yet!!!  http://plurk.com/p/wy69d
14840,anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
26,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
67,sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
40,happiness,mmm much better day... so far! it's still quite early. last day of #uds
1735,happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
24270,anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
1729,hate,@jaysun093  yes it is. Sucks don't it
909,hate,Its weird being at the guy's house without them here. I don't like it
2021,happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
1526,happiness,@tifftiff88 what don't be sad?  Be glad. Your 21
1630,happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?
795,love,"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha"
124,hate,@britblackbird  youstinkatrespondingtotexts!
1209,love,wth is happening with my neck. this is definitely not stiff neck :|
2195,happiness,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)"
1305,hate,"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!"
1405,love,"@LMA_xo My daddy lives in Manchester, I love it there :-D HULL?! :O bitch! I have a mate there and I wanna go"
2078,love,slept all day.. lol. now time to start on my UN article.. what fun (: ...
151,love,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
12996,anger,@tommcfly Why do you not respond me?
336,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
246,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
96,sadness,dont wanna work 11-830 tomorrow  but i get paid
2154,love,im finally going home but didnt get to finish all my work  so ill be back tomorrow
2673,happiness,"@hilsatlvsonline Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer"
12,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1450,love,aw. nick got his heart broken.  poor baby. i love you!
13041,anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
101,hate,@mrgenius23 You win ... SIGH Rakeem
1384,anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
2474,happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ
15375,anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
2457,love,All of you can have fun tweeting all day while im cleaning hair  LOL
20734,anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
1366,hate,@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back
1266,happiness,hahaha yeah i see that. but he can't twitter me back
1398,hate,@BrookeAmanda that sucks  what bout kate
2629,anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
13561,anger,Wish my headache/almost migraine would go away!
1085,hate,@hillaryhatt I never liked that boy  Jerms!
712,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
94,love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
